SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WB01 011 3600 US,WB01 011 3605 US,WB02 011 3610 US,WB03 011 3600 US,WB03 011 3610 US,WB03 011 3611 US,WB04 011 3600 US,WB04 011 3607 US,WB04 011 3605 US,WB04 011 3610 US,WB04 011 3615 US,WB05 011 3600 US,WB05 011 3605 US,WB05 011 3610 US,WB05 011 3616 US,WB05 011 3615 US,WA81 011 8400 US,WA81 011 8410 US,WA81 011 8420 US,WA04 011 8600 US,WA04 011 8610 US,WA04 011 8620 US,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
WA00 011 1700,Leaf Blower Attachment,T,0,T,0,STIHL,Attachments,RIDING,T,T,T,Handheld,F,Leaf Blower Attachment,2249.99,,, ,0,0,T,,,,,,,,875,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , ,T,T,T,T,T,T, , , ,, , , ,
WA00 700 9700,12 Bushel 3-Bag Hard Top M.C.S. w/Blower,T,300,T,3,STIHL,Attachments,RIDING,T,T,T,Handheld,F,12 Bushel 3-Bag Hard Top M.C.S. w/Blower,3999.99,,, ,0,0,T,,,,,,,,876,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,T,T,T, , , ,, , , ,
WB00 007 1005,"Mulching Kit (42"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (42"" Deck)",213.99,,, ,0,0,T,,,,,,,,902,,Attachment,Attachment,T,,F,,,,,,,,,,,,T, , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1010,LED Light Kit,T,100,T,1,STIHL,Attachments,,T,T,T,,,LED Light Kit,69.99,,, ,0,0,T,,,,,,,,903,,Attachment,Attachment,T,,F,,,,,,,,,,,,T,T,T, , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1015,"Mulching Kit (52"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (52"" Deck)",246.99,,, ,0,0,T,,,,,,,,904,,Attachment,Attachment,T,,F,,,,,,,,,,,, ,T, , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1020,"Mulching Kit (61"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (61"" Deck)",213.99,,, ,0,0,T,,,,,,,,905,,Attachment,Attachment,T,,F,,,,,,,,,,,, , ,T, , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1025,"Mulching Kit (52"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (52"" Deck)",213.99,,, ,0,0,T,,,,,,,,906,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , ,T, , ,T,T,T, , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1030,"Striping Kit (52"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Striping Kit (52"" Deck)",42.99,,, ,0,0,T,,,,,,,,907,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , ,T, , ,T,T,T, , , , , , , , , , , , , , , , ,, , , ,
WB00 007 1035,"Mulching Kit (60"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (60"" Deck)",213.99,,, ,0,0,T,,,,,,,,908,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , ,T,T, , , ,T,T,T,T, , , , , , , , , , , , ,, , , ,
WB00 007 1040,"Striping Kit (60"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Striping Kit (60"" Deck)",42.99,,, ,0,0,T,,,,,,,,909,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , ,T,T, , , ,T,T, , , , , , , , , , , , , , ,, , , ,
