PowerheadSKU,AttachmentModel,AttachmentSTIHLSKU,AttachmmentName,AK10_Compatible,AK10_RuntimeMin,AK10_RuntimeMax,AK20_Compatible,AK20_RuntimeLow,AK20_RuntimeHigh,AK30_Compatible,AK30_RuntimeLow,AK30_RuntimeHigh,AK30S_Compatible,AK30S_RuntimeLow,AK30S_RuntimeHigh,AP200S_Compatible,AP200S_RuntimeLow,AP200S_RuntimeHigh,AP300S_Compatible,AP300S_RuntimeLow,AP300S_RuntimeHigh,AP500S_Compatible,AP500S_RuntimeLow,AP500S_RuntimeHigh,AR2000L_Compatible,AR2000L_RuntimeLow,AR2000L_RuntimeHigh,AR3000L_Compatible,AR3000L_RuntimeLow,AR3000L_RuntimeHigh,RuntimeNote
KMA135R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,19,42,TRUE,36,78,TRUE,43,97,TRUE,120,275,TRUE,180,320,
KMA135R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,10,26,TRUE,19,48,TRUE,23,58,TRUE,60,170,TRUE,90,245,
KMA135R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMA200R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
